sr no,date,start.time,end.time,transect,species,count,source,centroid.lat,centroid.long,management.regime,total.visits,distance.from.village,length,minimum.elevation,average.elevation,maximum.elevation
38,01/03/2022,07:00,08:10,1,Himalayan Black Bulbul,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
39,01/03/2022,07:00,08:10,1,Mountain Bulbul,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
40,01/03/2022,07:00,08:10,1,Black-crested Bulbul,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
41,01/03/2022,07:00,08:10,1,Long-tailed Thrush,16,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
42,01/03/2022,07:00,08:10,1,Crested Finchbill,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
43,01/03/2022,07:00,08:10,1,Streak-breasted Scimitar-Babbler,8,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
44,01/03/2022,07:00,08:10,1,Rufous-necked Laughingthrush,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
45,01/03/2022,07:00,08:10,1,Red-faced Liocichla,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
46,01/03/2022,07:00,08:10,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
47,01/03/2022,07:00,08:10,1,Grey-winged Blackbird,12,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
48,01/03/2022,07:00,08:10,1,Little Pied Flycatcher,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
49,01/03/2022,07:00,08:10,1,Pygmy Cupwing,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
50,01/03/2022,07:00,08:10,1,Great Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
51,01/03/2022,07:00,08:10,1,Mrs. Gould's Sunbird,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
52,02/12/2022,07:00,07:56,1,Red-vented Bulbul,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
53,02/12/2022,07:00,07:56,1,Himalayan Black Bulbul,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
54,02/12/2022,07:00,07:56,1,Great Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
55,02/12/2022,07:00,07:56,1,Blue-throated Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
56,02/12/2022,07:00,07:56,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
57,02/12/2022,07:00,07:56,1,Flavescent Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
58,02/12/2022,07:00,07:56,1,Whiskered Yuhina,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
59,02/12/2022,07:00,07:56,1,White-throated Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
60,03-16-2022,07:18,08:36,1,Large Hawk-Cuckoo,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
61,03-16-2022,07:18,08:36,1,Rusty-fronted Barwing,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
62,03-16-2022,07:18,08:36,1,Golden-throated Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
63,03-16-2022,07:18,08:36,1,Great Barbet,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
64,03-16-2022,07:18,08:36,1,Blue-fronted Redstart,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
65,03-16-2022,07:18,08:36,1,Fire-breasted Flowerpecker,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
66,03-16-2022,07:18,08:36,1,Long-tailed Minivet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
67,03-16-2022,07:18,08:36,1,Chestnut-crowned Warbler,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
68,03-16-2022,07:18,08:36,1,Himalayan Black Bulbul,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
69,03-16-2022,07:18,08:36,1,Blue-winged Minla,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
70,03-16-2022,07:18,08:36,1,Yellow-cheeked Tit,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
71,03-16-2022,07:18,08:36,1,Buff-barred Warbler,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
72,03-16-2022,07:18,08:36,1,White-throated Fantail,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
73,03-16-2022,07:18,08:36,1,Grey Sibia,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
74,03-16-2022,07:18,08:36,1,Red-faced Liocichla,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
75,03-16-2022,07:18,08:36,1,Green-tailed Sunbird,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
76,03-16-2022,07:18,08:36,1,Verditer Flycatcher,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
77,03-16-2022,07:18,08:36,1,Whiskered Yuhina,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
78,03-16-2022,07:18,08:36,1,Mrs. Gould's Sunbird,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
79,03-16-2022,07:18,08:36,1,Slaty-blue Flycatcher,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
80,03-16-2022,07:18,08:36,1,Nepal Fulvetta,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
81,03-16-2022,07:18,08:36,1,Spotted Elachura,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
82,03-16-2022,07:18,08:36,1,Grey-sided Laughingthrush,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
83,03-16-2022,07:18,08:36,1,Brownish-flanked Bush Warbler,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
84,03-16-2022,07:18,08:36,1,Beautiful Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
85,03-17-2022,07:17,08:36,1,Great Barbet,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
86,03-17-2022,07:17,08:36,1,Large Hawk-Cuckoo,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
87,03-17-2022,07:17,08:36,1,Golden-throated Barbet,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
88,03-17-2022,07:17,08:36,1,Grey Treepie,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
89,03-17-2022,07:17,08:36,1,Rusty-fronted Barwing,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
90,03-17-2022,07:17,08:36,1,White-throated Fantail,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
91,03-17-2022,07:17,08:36,1,Blue-fronted Redstart,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
92,03-17-2022,07:17,08:36,1,Buff-barred Warbler,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
93,03-17-2022,07:17,08:36,1,Flavescent Bulbul,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
94,03-17-2022,07:17,08:36,1,Little Pied Flycatcher,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
95,03-17-2022,07:17,08:36,1,Mrs. Gould's Sunbird,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
96,03-17-2022,07:17,08:36,1,Ashy Drongo,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
97,03-17-2022,07:17,08:36,1,Whiskered Yuhina,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
98,03-17-2022,07:17,08:36,1,Naga Wren-Babbler,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
99,03-17-2022,07:17,08:36,1,Mountain Bulbul,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
100,03-17-2022,07:17,08:36,1,Himalayan Black Bulbul,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
101,03-17-2022,07:17,08:36,1,Grey-sided Laughingthrush,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
102,03-17-2022,07:17,08:36,1,Chestnut-crowned Warbler,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
103,03-17-2022,07:17,08:36,1,Yellow-cheeked Tit,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
104,03-17-2022,07:17,08:36,1,Slender-billed Scimitar-Babbler,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
105,03-17-2022,07:17,08:36,1,Yellow-bellied Fantail,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
106,03-17-2022,07:17,08:36,1,Grey Sibia,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
107,03-17-2022,07:17,08:36,1,Striated Bulbul,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
108,03-17-2022,07:17,08:36,1,Spotted Elachura,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
109,03-17-2022,07:17,08:36,1,Verditer Flycatcher,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
110,03-17-2022,07:17,08:36,1,Fire-breasted Flowerpecker,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
111,03-17-2022,07:17,08:36,1,Green-tailed Sunbird,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
112,03-17-2022,07:17,08:36,1,Asian Barred Owlet,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
113,04-16-2022,07:00,08:10,1,Streak-throated Barwing,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
114,04-16-2022,07:00,08:10,1,Black-faced Laughingthrush,8,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
115,04-16-2022,07:00,08:10,1,Rufous-vented Laughingthrush,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
116,04-16-2022,07:00,08:10,1,Black-headed Shrike-Babbler,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
117,04-16-2022,07:00,08:10,1,Stripe-throated Yuhina,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
118,04-16-2022,07:00,08:10,1,Beautiful Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
119,04-16-2022,07:00,08:10,1,Great Barbet,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
120,04-16-2022,07:00,08:10,1,Crested Finchbill,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
121,04-16-2022,07:00,08:10,1,Beautiful Sibia,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
122,04-16-2022,07:00,08:10,1,Ashy Drongo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
123,04-16-2022,07:00,08:10,1,Striated Swallow,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
124,04-16-2022,07:00,08:10,1,Grey Treepie,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
125,04-16-2022,07:00,08:10,1,Verditer Flycatcher,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
126,04-16-2022,07:00,08:10,1,Fire-breasted Flowerpecker,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
127,04-16-2022,07:00,08:10,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
128,04-16-2022,07:00,08:10,1,White-browed Bush-Robin,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
129,04-16-2022,07:00,08:10,1,Red-faced Liocichla,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
130,04-16-2022,07:00,08:10,1,Mrs. Gould's Sunbird,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
131,04-16-2022,07:00,08:10,1,Red-vented Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
132,04-14-2022,07:05,08:10,1,Mrs. Gould's Sunbird,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
133,04-14-2022,07:05,08:10,1,Black-throated Tit,9,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
134,04-14-2022,07:05,08:10,1,Large Hawk-Cuckoo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
135,04-14-2022,07:05,08:10,1,Golden-throated Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
136,04-14-2022,07:05,08:10,1,Great Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
137,04-14-2022,07:05,08:10,1,Fire-tailed Sunbird,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
138,04-14-2022,07:05,08:10,1,Silver-eared Mesia,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
139,04-14-2022,07:05,08:10,1,Verditer Flycatcher,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
140,04-14-2022,07:05,08:10,1,Mountain Hawk-Eagle,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
141,04-14-2022,07:05,08:10,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
142,04-14-2022,07:05,08:10,1,Whiskered Yuhina,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
143,04-14-2022,07:05,08:10,1,Red-faced Liocichla,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
144,04-14-2022,07:05,08:10,1,Assam Laughingthrush,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
145,04-14-2022,07:05,08:10,1,Fire-breasted Flowerpecker,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
146,04-14-2022,07:05,08:10,1,Ashy Drongo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
147,04-14-2022,07:05,08:10,1,Green-backed Tit,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
148,05/05/2022,07:00,08:35,1,Great Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
149,05/05/2022,07:00,08:35,1,Golden-throated Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
150,05/05/2022,07:00,08:35,1,Rufous-crowned Prinia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
151,05/05/2022,07:00,08:35,1,Flavescent Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
152,05/05/2022,07:00,08:35,1,Nepal House-Martin,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
153,05/05/2022,07:00,08:35,1,Ashy-throated Warbler,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
154,05/05/2022,07:00,08:35,1,White-throated Fantail,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
155,05/05/2022,07:00,08:35,1,Long-tailed Minivet,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
156,05/05/2022,07:00,08:35,1,Maroon Oriole,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
157,05/05/2022,07:00,08:35,1,Ashy Drongo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
158,05/05/2022,07:00,08:35,1,Crested Finchbill,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
159,05/05/2022,07:00,08:35,1,Red-faced Liocichla,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
160,05-23-2022,07:00,08:13,1,Rufous Woodpecker,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
161,05-23-2022,07:00,08:13,1,Golden-throated Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
162,05-23-2022,07:00,08:13,1,Wedge-tailed Green-Pigeon,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
163,05-23-2022,07:00,08:13,1,Long-tailed Minivet,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
164,05-23-2022,07:00,08:13,1,Yellow-vented Warbler,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
165,05-23-2022,07:00,08:13,1,Red-faced Liocichla,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
166,05-23-2022,07:00,08:13,1,Silver-eared Mesia,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
167,05-23-2022,07:00,08:13,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
168,05-23-2022,07:00,08:13,1,Long-tailed Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
169,05-23-2022,07:00,08:13,1,Crested Finchbill,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
170,05-23-2022,07:00,08:13,1,Nepal House-Martin,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
171,05-23-2022,07:00,08:13,1,Great Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
172,05-23-2022,07:00,08:13,1,Yellow-bellied Fantail,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
173,06-24-2022,06:40,07:51,1,Great Barbet,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
174,06-24-2022,06:40,07:51,1,Mrs. Gould's Sunbird,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
175,06-24-2022,06:40,07:51,1,Large Hawk-Cuckoo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
176,06-24-2022,06:40,07:51,1,Indian Blue Robin,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
177,06-24-2022,06:40,07:51,1,Red-tailed Minla,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
178,06-24-2022,06:40,07:51,1,Whiskered Yuhina,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
179,06-24-2022,06:40,07:51,1,Golden-throated Barbet,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
180,06-24-2022,06:40,07:51,1,Nepal Fulvetta,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
181,06-23-2022,06:30,07:40,1,Flavescent Bulbul,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
182,06-23-2022,06:30,07:40,1,Great Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
183,06-23-2022,06:30,07:40,1,Large Hawk-Cuckoo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
184,06-23-2022,06:30,07:40,1,Maroon Oriole,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
185,06-23-2022,06:30,07:40,1,Whiskered Yuhina,7,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
186,06-23-2022,06:30,07:40,1,Grey Bushchat,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
187,06-23-2022,06:30,07:40,1,Mrs. Gould's Sunbird,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
188,06-23-2022,06:30,07:40,1,Grey Sibia,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
189,06-23-2022,06:30,07:40,1,Indian Blue Robin,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
190,06-23-2022,06:30,07:40,1,Nepal Fulvetta,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
191,06-23-2022,06:30,07:40,1,Long-tailed Minivet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
192,06-23-2022,06:30,07:40,1,Golden-throated Barbet,1,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
193,06-23-2022,06:30,07:40,1,Red-tailed Minla,5,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
194,07-29-2022,07:05,08:49,1,Great Barbet,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
195,07-29-2022,07:05,08:49,1,Green-Pigeon sp.,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
196,07-29-2022,07:05,08:49,1,Long-tailed Minivet,8,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
197,07-29-2022,07:05,08:49,1,Ashy Drongo,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
198,07-29-2022,07:05,08:49,1,White-throated Fantail,2,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
199,07-29-2022,07:05,08:49,1,Green-backed Tit,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
200,07-29-2022,07:05,08:49,1,Black-throated Tit,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
201,07-29-2022,07:05,08:49,1,Crested Finchbill,9,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
202,07-29-2022,07:05,08:49,1,Striated Bulbul,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
203,07-29-2022,07:05,08:49,1,Grey Sibia,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
204,07-29-2022,07:05,08:49,1,Silver-eared Mesia,6,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
205,07-29-2022,07:05,08:49,1,Blue-winged Minla,4,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
206,07-29-2022,07:05,08:49,1,Red-whiskered Bulbul,3,,25.77912,94.9628,non-hunted,,850.2085,1050,2208,2221,2242
